word,definition
a,"a tag particle expressing annoyance; ""ach"""
a,"exclamation of discovery; ""ah"" (with high intonation)"
-a,suffix attached to (1) verbs of object focus #1 (with infix or suffix ) to express a command or (2) words after the interrogatives siin or ano to make them part of a single phrase.
aba,an exclamation expressing strong disbelief
aba,to get/climb up on one's back
ab-ab,"to flare up, grow, get bigger (fire)"
abae,to afford
abaeong,(turbercule) taro: Colocasia esculenta.
abaga,shoulder(s)
abaga,"take responsibility, to shoulder, take on"
abahong,(shell fish)
abaka,"abaca fibres, Manila hemp: Musa textiles"
abak-abak,"to be abundant, be in abundance"
abakada,alphabet
abang,"obstruct, block, hinder; waylay, ambush"
abangay,frern with broad pods
abaniko,fan
abaniko,to fan
abano,large cigar
abanti,"to go ahead, advance, go forward"
abanti,"to endure, put up with"
abat,"to be attractive (possess qualities which attract other persons or things); befriend (freely, without invitation)"
abaw,"wow, gosh, oh (expression of amazement)"
abay,sponsor (at wedding or baptism)
abenturar,"to adventure, go on an adventure"
abenturera,"adventurer (female), adventuress"
abenturero,adventurer (male)
abi,particle used in excuses or explanations
abi,"""Gimme"" ""Come one"" (requesting particle)"
abi-abi,"to welcome, entertain"
abil,"half-castrated, having only one testicle"
abiriya,"to get stalled, break down (car)"
abiso,"note, notice"
abiso,"to notify, inform"
abnormal,"abnormal, out of the ordinary"
abo,great grandfather
abo,ash(es)
abo,to make ashes
abo,"much, many, a lot of (referring to things which can be counted or enumerated)"
abogado,"lawyer, advocate"
abokado,"(tree, fruit) avocado: Persea americana Mill."
abong,to play up to; give something in order to ask/get something in return
abot,"arrive, get to one's destination, go as far as; catch up (with/to); overcome by, overwhelmed"
abot,a late-comer to dinner (or any meal)
abot,"to be overcome by, overwhelmed, ""bowled over"""
abrakadabra,abracadabra (magical incantation)
abrasyete,to walk arm in arm (together)
abri,to open (up)
abridilata,"can opener, bottle opener"
Abril,April (the fourth mounth of the year)
abrilata,"can opener, bottle opener"
absen,absent
abtik,"to get faster, speed up"
abunda,"abundant, plentiful"
abundar,"to pay in advance, advance; credit one's account; let use without payment"
abuno,fertilizer
abuno,to fertilize
abusar,"to abuse, take undue advantage of"
abuso,"to abuse, take undue advantage of"
abyador,"pilot, aviator"
abyan,friend
adelpa,(pink flower--oleander) Nerium indicum.
adgaw,"(tree, medicinal) Premna odorata Blanco."
adhektibo,adjective (grammatical term)
adlaw,day; sun
adlaw-adlaw,"daily, every day"
adlos,"windy, stormy (wheather); strong (breeze)"
administrasyon,administration
adngan,hard to kindle (wood)
adobo,"adobo (food cooked in vinegar-garlic preparation until dry, then fried)"
adobo,"to adobo, cook by the adobo method"
adoy,"""Oh darn"" (expression of frustration)"
adto,"to go (to), go to see"
adtunan,destination; someplace to go
adudueay,(earth worm--very large)
Adventista,a member of the Seventh Day Adventist religion
adwing,"to look back (at), turn one's head around (to)"
adyi,to pray
adyos,"""Good bye"" (expression of farewell or leave taking, but usually only before a long journey)"
aeaay,"bad, poor (harvest, catch)"
aeabihig,(tree)
ae-agaw-an,make a scramble for (in order to take or get)
aeak,to distil (any alcohol or alcoholic beverage)
aeam,"to get smarter, become intelligent, get wise(r) intelligence, basic mental ability; wisdom, knowledge."
aeam-aeam,"to console, appease"
aean,to have a physical reaction of salivation or even blood rushing to one's head due to eating to many sweets or an extremely sweet taste
aean,to find cloying
aeang-aeang,"unfit, half-way, half-baked, incomplete, irregular (having both elements of good and bad)"
aeang-aeang,"with respect to, in consideration of, because of"
aeangay,"to simmer, cook food slowly (over low heat)"
aeanghilan,"(tree, bloosom--used for making perfume) Canaga odorata."
aeangon,"immature, too young"
aeap,to sift out (separate husked from unjusked rice)
aeap-ap,(white fungus on skin) ringworm
aeap-apon,having ringword
aeas,"to twine, wind up/around"
aeat,to salt; make salty
aeat,bamboo basket
aeaw-aeaw,"to entertain, treat (with food)"
aeayagan,screen (for sifting)
aeogbati,(vegetablee--libato) Basella rubra L.
aeogbati,(vegetablee--libato) Basella rubra L.
aeokait,eggshell
aeom,"mole, birthmark"
aeom,dark-colored (spot on skin)
aeugsok,(mudfish--medium sized)
aeundog,"to accompany, walk (side by side) with; follow"
aeupi,(native dessert preparation--suman variety)
aeopisan,(vine) Tetrastigma harmandii.
aeosiman,(herb--grows along bank of river) purslane: Portulaca oleracea.
ag,and
aga,early
agahon,morning
aga-aga,very early morning (about 4:00 A.M.)
aga-aga,to get up (or) work early in the morning
agak,"rooster, cock (already mature, somewhat old)"
agaeon,"master, overlord, overseer, landlord"
agagangis,(insect--cicada)
agam-agam,"to have an oppurtunity, take advantage of a chance"
agap,"give time to, concentrate, think carefully (while working)"
agaw,"grab, take, seize, snatch, get (without being one's due)"
agda,"invite, remind someone of an invitation"
agiw,"soot, black smoke deposit on wall or ceiling; to smudge, blacken with soot"
agiw-on,"sooty, smudged"
agom,"to taste, receive one's due, enjoy, obtain, attain"
akab,"to take for oneself, grad (land, possessions)"
akad,"to dig (into; around for), excavate; go through"
akae-akae,bubble(s) (of boilig water; in rapids of river)
ak-ak,"to detach, separate, take apart/off"
akasya,"(tree) acacia, rain tree"
Akean,paradise (legendary place of no troubles)
Akean,the province of Aklan
Akean,the Aklan River
Akeanon,"an Aklanon, inhabitant of the province of Aklan"
akid,to gang up on/against; join forces against
akig,"to be angry, be furious (at)"
akin,(fish)
ako,"to assume responsibility, take upon oneself; avow; claim as one's own; admit (guilt)"
ako,1sg. nominative pronoun: I
akon,"my, mine; I"
