word,etymology,pos,classification,definition,similar,opposite
a,,dp,,"a tag particle expressing annoyance: ""ach""",,
a,,intj,,"exclamation of discovery: ""ah"" (with high intonation)",,
aba,,intj,,an exclamation expressing strong disbelief,,
aba,,rv6,,to get/climb up on one's back,,
ab-ab,,rv7,,"to flare up, grow, get bigger (fire)",,
abae,,rv1,,to afford,,
abaeong,,n,,(turbercule) taro (sn: Colocasia esculenta),gabi,
abaga,,n,,shoulder(s),,
abaga,,rv1,,"take responsibility, to shoulder, take on",,
abahong,,n,,(shell fish),,
abaka,sp,n,,"abaca fibres, Manila hemp (Musa textiles)",,
abak-abak,,rv7,,"to be abundant, be in abundance",,
abakada,,n,,alphabet,,
abang,,rv3,,"obstruct, block, hinder; waylay, ambush",,
abangay,,n,,frern with broad pods,,
abaniko,sp,n,,fan,kabkab,
abaniko,,rv4,,to fan,,
abano,sp,n,,large cigar,,
abanti,sp,rv6,,"to go ahead, advance, go forward",,atras
abanti,,rv3,,"to endure, put up with",,
abat,,rv1,,"to be attractive (possess qualities which attract other persons or things); befriend (freely, without invitation)",,
abaw,,intj,,"wow, gosh, oh (expression of amazement)",,
abay,tag,n,,sponsor (at wedding or baptism),,
abenturar,sp,dp,,"to adventure, go on an adventure",,
abi,,dp,,particle used in excuses or explanations,,
abi,,dp,,"""gimme"" ""come one"" (requesting particle)",ambi,
abi-abi,,rv3,,"to welcome, entertain",,
abil,,adj,vul,"half-castrated, having only one testicle",,
abiriya,sp,st3,,"to get stalled, break down (car)",,
abiso,sp,n,,"note, notice",,
abiso,,rv3,,"to notify, inform",,
abnormal,eng,adj,,"abnormal, out of the ordinary",,
abo,oak,n,,great grandfather,,
abo,,n,,ash(es),,
abo,,rv1,,to make ashes,,
abo,,adj,,"much, many, a lot of (referring to things which can be counted or enumerated)",,
abogado,sp,n,,"lawyer, advocate",mananabang,
abokado,sp,n,,"(tree, fruit) avocado (sn: Persea americana Mill.)",,
abong,,cv,,to play up to; give something in order to ask/get something in return,ilo,
abot,,rv4,,"arrive, get to one's destination, go as far as; catch up (with/to); overcome by, overwhelmed",,
abot,,n,,a late-comer to dinner (or any meal),,
abot,,st1,,"to be overcome by, overwhelmed, ""bowled over""",,
abrakadabra,,intj,expr,abracadabra (magical incantation),,
abrasyete,sp,rv8,,to walk arm in arm (together),,
abri,sp,rv3,,to open (up),,
abridilata,sp,n,,"can opener, bottle opener",abrilata,
Abril,sp,n,,April (the fourth mounth of the year),,
abrilata,sp,n,,"can opener, bottle opener",,
absen,eng,adj,,absent,,
abtik,,rv1,,"to get faster, speed up",,
abunar,sp,rv3,,"to pay in advance, advance; credit one's account; let use without payment",,
abunda,sp,adj,,"abundant, plentiful",,
abuno,sp,n,,fertilizer,,
abuno,,rv3,,to fertilize,,
abusar,sp,rv1,,"to abuse, take undue advantage of",abuso,
abuso,sp,rv1,,"to abuse, take undue advantage of",,
abuso,,n,,abuse,,
abyador,sp,n,,"pilot, aviator",,
abyan,oak,n,,friend,,
adelpa,,n,,(pink flower--oleander) Nerium indicum.,,
adgaw,,n,,"(tree, medicinal) Premna odorata Blanco.",,
adhektibo,,n,,adjective (grammatical term),,
adlaw,,n,,day; sun,,
adlos,,adj,,"windy, stormy (wheather); strong (breeze)",,
administrasyon,,n,,administration,,
adngan,,adj,,hard to kindle (wood),,
adobo,sp,n,,"adobo (food cooked in vinegar-garlic preparation until dry, then fried)",,
adobo,,rv1,,"to adobo, cook by the adobo method",,
adoy,lib,intj,expr,"""oh darn"" (expression of frustration)",,
adto,,rv4,,"to go (to), go to see",agto,
adtunan,,n,,destination; someplace to go,,
adudueay,,n,,(earth worm--very large),,
Adventista,,n,,a member of the Seventh Day Adventist religion,,
adwing,,rv1,,"to look back (at), turn one's head around (to)",,
adyi,,rv5,,to pray,,
adyos,sp,intj,,"""good bye"" (expression of farewell or leave taking, but usually only before a long journey)",,
aeaay,,adj,,"bad, poor (harvest, catch)",ayaay,
aeabihig,,n,,(tree),,
aeak,,rv1,,to distil (any alcohol or alcoholic beverage),,
aeam,,rv6,,"to get smarter, become intelligent, get wise(r) intelligence, basic mental ability; wisdom, knowledge.",,
aeam-aeam,,rv3,,"to console, appease",,
aean,,st4,,to have a physical reaction of salivation or even blood rushing to one's head due to eating to many sweets or an extremely sweet taste,,
aean,,st5,,to find cloying,,
aeang-aeang,,adj,,"unfit, half-way, half-baked, incomplete, irregular (having both elements of good and bad)",,
aeang-aeang,,prep,,"with respect to, in consideration of, because of",,
aeangay,,rv1,,"to simmer, cook food slowly (over low heat)",,
aeanghilan,sp,n,,"(tree, bloosom--used for making perfume) Canaga odorata.",,
aeangon,tag,adj,,"immature, too young",,
aeap,,rv3,,to sift out (separate husked from unjusked rice),,
aeap-ap,,n,,(white fungus on skin) ringworm,,
aeap-apon,,adj,,having ringword,,
aeas,,rv1,,"to twine, wind up/around","ahas, haeas",
aeat,,rv1,,to salt; make salty,asin,
aeat,,n,,bamboo basket,,
aeaw-aeaw,,rv1,,"to entertain, treat (with food)",,
aeayagan,,n,,screen (for sifting),,
aeogbati,,n,,(vegetable--libato) (sn: Basella rubra L).,,
aeokait,bkd,n,,eggshell,tokiba it itlog,
aeom,,n,,"mole, birthmark",,
aeom,,adj,,dark-colored (spot on skin),,
aeopisan,,n,,(vine) Tetrastigma harmandii.,,
aeosiman,,n,,(herb--grows along bank of river) purslane (sn: Portulaca oleracea),,
aeugsok,,n,,(mudfish--medium sized),,
aeundog,,rv4,,"to accompany, walk (side by side) with; follow",,
aeupi,,n,,(native dessert preparation--suman variety),alupi,
ag,,conj,,and,,
aga,,adv,,early,temprano,
agaeon,,n,,"master, overlord, overseer, landlord",,
agagangis,,n,,(insect--cicada),,
agak,,n,,"rooster, cock (already mature, somewhat old)",,
agam-agam,,rv1,,"to have an oppurtunity, take advantage of a chance",,
agap,,rv3,,"give time to, concentrate, think carefully (while working)",,
agaray,bkd,intj,,expression of disgust,,
agas-agas,,n,,(fish),,
Agasili,,n,,"sitio of Naisud, Ibajay",,
agaw,,rv1,,"grab, take, seize, snatch, get (without being one's due)",,
agay,,rv7,,"to ooze, seep (out), come out slowly (liquid)",,
Agbago,,n,,barrio of Ibajay,,
Agbaliw,,n,,barrio of Ibajay,,
Agbalugo,,n,,barrio of Makato,,
Agbanawan,,n,,barrio of Banga,,
Agbanuod,,n,,"sitio of Panipyason, Madalag; creek in Madalag",,
agbay,,rv1,,to put one's arm around another's shoulder,,
